transaction_id,device_id,employee_id,checkout_timestamp,return_timestamp,checkout_duration_hours,checkout_date,checkout_month,turnaround_hours
TX007327,DEV0001,EMP0004,2024-01-05 17:14:00,2024-01-20 03:24:16.296333377,346.17119342593804,2024-01-05,2024-01,
TX007083,DEV0001,EMP0307,2024-01-19 08:58:00,2024-02-01 06:19:57.281828314,309.36591161897616,2024-01-19,2024-01,
TX008105,DEV0001,EMP0231,2024-02-02 08:51:00,2024-02-17 15:15:56.964763101,366.41582354530584,2024-02-02,2024-02,26.517421714357223
TX000279,DEV0001,EMP0013,2024-02-04 08:59:00,2024-02-09 16:48:46.300949065,127.82952804140695,2024-02-04,2024-02,
TX007938,DEV0001,EMP0172,2024-02-05 16:32:00,2024-02-06 15:39:43.271467801,23.12868651883361,2024-02-05,2024-02,
TX002932,DEV0001,EMP0020,2024-02-19 07:42:00,2024-02-28 02:26:56.303148960,210.74897309693333,2024-02-19,2024-02,40.43417645469417
TX000239,DEV0001,EMP0099,2024-03-01 09:06:00,2024-03-03 18:15:20.202210587,57.15561172516306,2024-03-01,2024-03,54.651026903066665
TX001616,DEV0001,EMP0277,2024-03-18 10:31:00,2024-03-27 04:59:18.382855763,210.4717730154897,2024-03-18,2024-03,352.26105494150363
TX006462,DEV0001,EMP0044,2024-04-09 09:47:00,2024-04-11 12:23:49.005957491,50.61361276596972,2024-04-09,2024-04,316.79489365117695
TX003824,DEV0001,EMP0116,2024-05-07 14:16:00,2024-05-13 07:21:52.076158980,137.09779893305,2024-05-07,2024-05,625.8697205673635
TX005128,DEV0001,EMP0156,2024-05-09 14:02:00,2024-05-17 15:23:52.286471841,193.36452401995584,2024-05-09,2024-05,
TX005951,DEV0001,EMP0265,2024-05-14 13:00:00,2024-05-29 04:10:07.883310746,351.1688564752072,2024-05-14,2024-05,
TX007302,DEV0001,EMP0332,2024-05-22 07:34:00,2024-05-27 08:24:02.110993324,120.83391972036779,2024-05-22,2024-05,
TX008607,DEV0001,EMP0129,2024-06-10 18:04:00,2024-06-16 21:01:09.032052649,146.9525089035136,2024-06-10,2024-06,301.8978101914595
TX000570,DEV0001,EMP0150,2024-07-06 08:14:00,2024-07-11 05:37:02.744172111,117.38409560336416,2024-07-06,2024-07,467.2141577631531
TX001764,DEV0001,EMP0389,2024-07-19 12:15:00,2024-07-23 11:56:50.023428549,95.6972287301525,2024-07-19,2024-07,198.6325710633025
TX008092,DEV0001,EMP0382,2024-08-19 15:39:00,2024-08-23 23:08:27.029479477,103.49084152207693,2024-08-19,2024-08,651.7027712698475
TX002567,DEV0001,EMP0261,2024-08-26 13:39:00,2024-09-04 15:55:18.444657506,218.27179018264053,2024-08-26,2024-08,62.50915847792305
TX008549,DEV0001,EMP0288,2024-10-14 12:22:00,2024-10-19 00:32:40.201681412,108.17783380039222,2024-10-14,2024-10,956.4448764840262
TX000161,DEV0001,EMP0298,2024-10-17 09:33:00,2024-11-03 13:39:31.428171414,412.108730047615,2024-10-17,2024-10,
TX008657,DEV0001,EMP0384,2024-10-23 09:15:00,2024-10-29 13:39:25.426003326,148.40706277870166,2024-10-23,2024-10,
TX008190,DEV0001,EMP0306,2024-11-15 07:36:00,2024-11-22 22:19:14.182197734,182.72060616603721,2024-11-15,2024-11,281.941269952385
TX004650,DEV0001,EMP0118,2024-11-19 15:50:00,2024-12-04 12:20:07.620742350,356.502116872875,2024-11-19,2024-11,
TX003618,DEV0001,EMP0086,2024-12-05 15:39:00,2024-12-20 13:28:34.581091396,357.82627252538776,2024-12-05,2024-12,27.314549793791667
TX005411,DEV0001,EMP0319,2024-12-11 17:34:00,2024-12-18 07:10:20.379118792,157.6056608663311,2024-12-11,2024-12,
TX003808,DEV0001,EMP0132,2024-12-15 18:04:00,2024-12-18 11:12:53.914049738,65.14830945826056,2024-12-15,2024-12,
TX005235,DEV0001,EMP0221,2024-12-29 12:10:00,2025-01-03 14:24:41.688900273,122.24491358340917,2024-12-29,2024-12,214.6903941412789
TX003570,DEV0001,EMP0335,2025-01-09 15:56:00,2025-01-17 15:51:25.162794447,191.92365633179085,2025-01-09,2025-01,145.5217530832575
TX004899,DEV0001,EMP0215,2025-02-20 15:08:00,2025-03-06 13:12:55.556210684,334.0820989474122,2025-02-20,2025-02,815.2763436682092
TX008979,DEV0001,EMP0041,2025-03-12 17:52:00,2025-04-21 02:24:07.073314421,944.5352981428947,2025-03-12,2025-03,148.6512343859211
TX002050,DEV0001,EMP0339,2025-03-21 15:24:00,2025-03-25 15:25:38.747539994,96.02742987222057,2025-03-21,2025-03,
TX006294,DEV0001,EMP0024,2025-04-15 08:55:00,2025-04-19 07:14:53.887560075,94.33163543335417,2025-04-15,2025-04,
TX007037,DEV0001,EMP0378,2025-04-27 16:49:00,2025-05-08 13:34:28.041504115,260.7577893066986,2025-04-27,2025-04,158.41470185710529
TX000861,DEV0001,EMP0241,2025-05-29 13:04:00,2025-06-15 04:59:29.936468510,399.9249823523639,2025-05-29,2025-05,503.4922106933014
TX002150,DEV0001,EMP0217,2025-06-12 09:17:00,2025-06-16 08:54:18.438751034,95.62178854195388,2025-06-12,2025-06,
TX002268,DEV0001,EMP0305,2025-06-12 10:28:00,2025-06-17 22:31:31.480218701,132.0587445051947,2025-06-12,2025-06,
TX000607,DEV0001,EMP0017,2025-07-13 13:44:00,2025-07-16 20:32:42.940448932,78.81192790248112,2025-07-13,2025-07,615.207922161472
