employee_id,department,job_role,location
EMP0001,Engineering,Researcher,College Station
EMP0002,Finance,Manager,College Station
EMP0003,Marketing,Researcher,Austin
EMP0004,Engineering,Researcher,Dallas
EMP0005,Research,Manager,Austin
EMP0006,Operations,Engineer,Dallas
EMP0007,Marketing,Analyst,Dallas
EMP0008,Engineering,Analyst,Austin
EMP0009,Engineering,Engineer,Austin
EMP0010,Engineering,Researcher,Dallas
EMP0011,Research,Manager,Houston
EMP0012,Operations,Manager,Dallas
EMP0013,Operations,Engineer,College Station
EMP0014,Finance,Manager,Dallas
EMP0015,Finance,Coordinator,College Station
EMP0016,Marketing,Researcher,Austin
EMP0017,HR,Coordinator,Houston
EMP0018,HR,Coordinator,College Station
EMP0019,Engineering,Researcher,Austin
EMP0020,Research,Manager,College Station
EMP0021,Engineering,Researcher,Dallas
EMP0022,Research,Engineer,Dallas
EMP0023,Engineering,Analyst,Houston
EMP0024,Engineering,Manager,Houston
EMP0025,Research,Analyst,Austin
EMP0026,Engineering,Analyst,College Station
EMP0027,Marketing,Researcher,Houston
EMP0028,Marketing,Coordinator,College Station
EMP0029,Engineering,Engineer,Dallas
EMP0030,Operations,Researcher,Houston
EMP0031,Research,Analyst,Dallas
EMP0032,Research,Engineer,College Station
EMP0033,Finance,Coordinator,College Station
EMP0034,Marketing,Engineer,College Station
EMP0035,Engineering,Coordinator,Houston
EMP0036,Engineering,Researcher,College Station
EMP0037,Engineering,Analyst,Dallas
EMP0038,Research,Analyst,Dallas
EMP0039,Research,Researcher,College Station
EMP0040,HR,Manager,Austin
EMP0041,Marketing,Manager,Houston
EMP0042,Marketing,Manager,Austin
EMP0043,Marketing,Manager,Houston
EMP0044,Marketing,Coordinator,Dallas
EMP0045,Marketing,Manager,Dallas
EMP0046,Engineering,Analyst,Dallas
EMP0047,Engineering,Coordinator,Dallas
EMP0048,Research,Coordinator,Dallas
EMP0049,Marketing,Analyst,Dallas
EMP0050,Research,Engineer,Houston
EMP0051,Engineering,Coordinator,College Station
EMP0052,Marketing,Coordinator,Houston
EMP0053,Engineering,Analyst,Houston
EMP0054,Engineering,Analyst,College Station
EMP0055,Engineering,Manager,College Station
EMP0056,Engineering,Manager,Austin
EMP0057,Research,Researcher,Houston
EMP0058,Finance,Manager,Austin
EMP0059,Operations,Researcher,Austin
EMP0060,Marketing,Engineer,College Station
EMP0061,Marketing,Manager,Austin
EMP0062,Marketing,Analyst,College Station
EMP0063,Engineering,Manager,College Station
EMP0064,Research,Analyst,College Station
EMP0065,HR,Manager,Houston
EMP0066,Operations,Engineer,College Station
EMP0067,Marketing,Analyst,Austin
EMP0068,Engineering,Analyst,College Station
EMP0069,Research,Manager,Austin
EMP0070,Finance,Researcher,Dallas
EMP0071,Engineering,Analyst,Austin
EMP0072,Finance,Manager,Dallas
EMP0073,HR,Engineer,Houston
EMP0074,Operations,Researcher,Dallas
EMP0075,Operations,Manager,College Station
EMP0076,HR,Researcher,Houston
EMP0077,Engineering,Engineer,Houston
EMP0078,Research,Analyst,College Station
EMP0079,Marketing,Manager,Dallas
EMP0080,Operations,Coordinator,Dallas
EMP0081,Engineering,Researcher,College Station
EMP0082,Research,Researcher,Houston
EMP0083,Finance,Researcher,Houston
EMP0084,Engineering,Coordinator,Dallas
EMP0085,Marketing,Engineer,Austin
EMP0086,Engineering,Manager,Austin
EMP0087,Engineering,Analyst,Austin
EMP0088,Operations,Manager,Austin
EMP0089,Finance,Engineer,Houston
