device_id,device_type,manufacturer,model,purchase_date,purchase_cost,department_owner,location,status,checkout_count,unique_employees,total_checkout_hours,avg_checkout_duration_hours,median_checkout_duration_hours,turnaround_count,avg_turnaround_hours,median_turnaround_hours,borrowing_frequency_per_month,utilization_rate,utilization_segment
DEV0001,Laptop,Dell,Latitude 5440,2022-04-27,1238,HR,Dallas,Available,62,58,12373.018179382196,199.56480934487413,147.67978584110762,37,350.9726483606551,281.941269952385,1.6756756756756757,0.46928630649188,Highly Utilized
DEV0002,Laptop,Apple,MacBook Air M3,2025-01-21,1309,Operations,College Station,Checked Out,54,50,10038.173070642926,185.89209390079492,156.02039256112568,33,422.5235672550123,181.59276959828776,1.4594594594594594,0.38072983454417664,Moderately Utilized
DEV0003,Laptop,Lenovo,ThinkPad T14,2024-07-21,1249,HR,College Station,Available,59,58,12057.751291354729,204.3686659551649,157.17306930637193,36,369.1047645344016,244.537498457165,1.5945945945945945,0.45732880095065837,Moderately Utilized
DEV0004,Monitor,Dell,P2425H,2023-08-09,297,HR,Houston,Checked Out,34,32,9108.160122173065,267.88706241685486,224.10815306368764,22,626.0109575905486,487.41926915657393,0.918918918918919,0.3454561175537409,Moderately Utilized
DEV0005,Monitor,LG,27UP850,2023-12-11,392,Marketing,Austin,Available,35,33,9178.721271780261,262.2491791937218,186.52700995802,24,641.288925599394,582.1629265783897,0.9459459459459459,0.3481323749390376,Moderately Utilized
DEV0006,Tablet,Apple,iPad Air,2023-12-22,695,Finance,Houston,Checked Out,32,31,4422.26747602007,138.19585862562718,99.89752208368333,26,695.0491419702022,723.6632473710026,0.8648648648648649,0.16772864470520407,Moderately Utilized
DEV0007,Tablet,Samsung,Galaxy Tab S9,2024-06-29,790,Marketing,Dallas,Checked Out,24,23,2478.2299416214855,103.25958090089523,96.01237708304598,22,892.2108885178045,550.511137297017,0.6486486486486487,0.09399480054746068,Moderately Utilized
DEV0008,Camera,Canon,EOS R50,2025-03-07,875,Marketing,Dallas,Available,15,15,1624.3426413841717,108.28950942561144,70.58388726176527,14,1340.9415902213423,1205.2844356394269,0.40540540540540543,0.06160839235835539,Moderately Utilized
DEV0009,Camera,Sony,Alpha ZV-E10,2023-12-12,848,Engineering,College Station,Maintenance,14,12,1427.548700605615,101.9677643289725,80.17289624421846,12,1255.8733443750816,1053.3897522776615,0.3783783783783784,0.05414435243947426,Moderately Utilized
DEV0010,Projector,Epson,PowerLite,2024-08-26,749,Research,Dallas,Available,15,14,732.2624953650767,48.81749969100511,56.43960636815694,14,1541.5495447774958,988.6570984701009,0.40540540540540543,0.027773398280868184,Underutilized
DEV0011,Laptop,Dell,Latitude 5440,2024-10-31,1338,Finance,Houston,Available,66,60,14144.850092001463,214.31591048487064,177.28366322551614,35,349.72478838189585,188.59444015695112,1.7837837837837838,0.5364887014081912,Highly Utilized
DEV0012,Laptop,Apple,MacBook Air M3,2023-09-11,1630,Research,Dallas,Checked Out,67,65,15484.86624086372,231.1174065800555,135.02369974586054,33,360.44082635748885,207.0772706906617,1.8108108108108107,0.5873131017300891,Highly Utilized
DEV0013,Laptop,Lenovo,ThinkPad T14,2024-03-29,1304,HR,College Station,Checked Out,55,53,15612.07932616419,283.8559877484398,186.33123967441333,24,447.0083712911301,350.5596416785395,1.4864864864864864,0.592138065055333,Highly Utilized
DEV0014,Monitor,Dell,P2425H,2024-12-17,282,Research,Dallas,Available,39,37,12580.479886108049,322.57640733610384,196.72213636255336,24,534.3158806429734,352.21709973094823,1.054054054054054,0.4771549555697672,Highly Utilized
DEV0015,Monitor,LG,27UP850,2024-04-07,442,Engineering,College Station,Checked Out,35,35,14004.060340905153,400.1160097401472,229.1510674555278,20,533.902469192205,384.7927637749691,0.9459459459459459,0.5311487995890865,Highly Utilized
DEV0016,Tablet,Apple,iPad Air,2022-01-10,682,Marketing,Houston,Checked Out,16,15,3231.005522249822,201.9378451406139,106.81152475911458,13,1445.5766137628125,959.650838843555,0.43243243243243246,0.12254622322612611,Moderately Utilized
DEV0017,Tablet,Samsung,Galaxy Tab S9,2023-12-24,684,Marketing,Austin,Available,31,29,3759.960763537965,121.28905688832144,102.75897458492334,22,896.6062095231729,448.73855083875696,0.8378378378378378,0.1426085433395221,Moderately Utilized
DEV0018,Camera,Canon,EOS R50,2022-07-01,838,Operations,Dallas,Available,9,9,775.0528166413578,86.11697962681754,59.848694251103886,8,1789.0478917424443,739.125606811425,0.24324324324324326,0.029396358138698894,Underutilized
DEV0019,Camera,Sony,Alpha ZV-E10,2022-04-13,830,HR,Houston,Available,21,21,1935.2935024073347,92.15683344796832,57.111306755401664,19,955.846079469619,518.569770112296,0.5675675675675675,0.07340219876471729,Moderately Utilized
DEV0020,Projector,Epson,PowerLite,2023-12-21,829,Operations,Austin,Available,21,21,634.6962800001317,30.22363238095865,30.55832355296139,20,1024.4485622751909,845.945575245616,0.5675675675675675,0.02407288736403281,Underutilized
DEV0021,Laptop,Dell,Latitude 5440,2025-07-01,1330,Finance,College Station,Available,61,56,14097.629822091321,231.10868560805446,150.12916623226693,29,428.9578747024158,252.8688733920803,1.6486486486486487,0.5346977215731655,Highly Utilized
DEV0022,Laptop,Apple,MacBook Air M3,2025-01-14,1436,Research,Dallas,Available,57,54,14234.451611786086,249.727221259405,153.87432463692807,30,434.4139204036745,312.98545990207367,1.5405405405405406,0.5398871257591594,Highly Utilized
DEV0023,Laptop,Lenovo,ThinkPad T14,2023-07-19,1208,Operations,Houston,Available,60,58,13359.457609485162,222.6576268247527,161.94955927352333,36,370.7283777063445,247.142167954235,1.6216216216216217,0.5067001783556075,Highly Utilized
DEV0024,Monitor,Dell,P2425H,2024-10-16,274,Marketing,College Station,Available,40,38,10563.394133173182,264.0848533293296,194.90955525896763,25,475.1104743319483,372.8722664379144,1.0810810810810811,0.40065052397929646,Moderately Utilized
DEV0025,Monitor,LG,27UP850,2023-03-11,408,Engineering,College Station,Available,38,37,11166.288802648633,293.8497053328588,271.6746406696464,25,505.459995539834,335.3581835632986,1.027027027027027,0.4235172335031892,Moderately Utilized
DEV0026,Tablet,Apple,iPad Air,2024-07-28,626,Research,Houston,Available,31,30,3363.1523146593513,108.48878434385004,102.33375063958445,28,666.8557623357901,396.6697209591024,0.8378378378378378,0.12755831318069802,Moderately Utilized
DEV0027,Tablet,Samsung,Galaxy Tab S9,2023-10-09,758,HR,Austin,Available,30,28,5382.397976363863,179.4132658787954,136.90951228192264,21,884.2619194404748,534.1437998494505,0.8108108108108109,0.20414466622268296,Moderately Utilized
DEV0028,Camera,Canon,EOS R50,2023-05-11,895,Operations,Dallas,Available,18,17,1221.617376779997,67.86763204333316,56.272427257825825,17,1234.7657653808399,807.3042303421995,0.4864864864864865,0.04633374803010346,Underutilized
DEV0029,Camera,Sony,Alpha ZV-E10,2023-03-22,755,Engineering,Dallas,Available,14,13,1279.6420801068273,91.40300572191623,69.02945685462153,13,1236.6444504202204,1228.3425905941397,0.3783783783783784,0.04853452057522996,Underutilized
DEV0030,Projector,Epson,PowerLite,2025-03-27,757,HR,College Station,Checked Out,14,14,816.2802861911453,58.30573472793895,46.02811800204597,13,1606.3837047591514,1366.6167926110759,0.3783783783783784,0.030960041843881344,Underutilized
DEV0031,Laptop,Dell,Latitude 5440,2022-12-06,1250,HR,Houston,Available,63,56,13848.966395700509,219.8248634238176,143.3590545829336,32,419.59835156374925,295.5123929383468,1.7027027027027026,0.5252663654368742,Highly Utilized
DEV0032,Laptop,Apple,MacBook Air M3,2022-12-20,1508,Engineering,Dallas,Available,68,64,17819.97657556972,262.05847905249584,193.41859875690318,30,327.4022421810031,144.51263313237402,1.837837837837838,0.6758796332212692,Highly Utilized
DEV0033,Laptop,Lenovo,ThinkPad T14,2024-07-27,1273,Finance,Houston,Checked Out,52,50,9677.138788714497,186.09882285989417,153.3637903534404,30,479.91557557490125,287.3328425853454,1.4054054054054055,0.36703645413959046,Moderately Utilized
DEV0034,Monitor,Dell,P2425H,2022-08-18,281,Marketing,Houston,Available,38,38,12556.88570051406,330.4443605398437,262.0877822703342,18,711.5299328492076,742.1768012445864,1.027027027027027,0.4762600705828093,Highly Utilized
DEV0035,Monitor,LG,27UP850,2023-02-06,473,Operations,Austin,Available,29,29,8437.098523915376,290.9344318591509,232.8137295883953,18,670.8405414906413,369.007703916937,0.7837837837837838,0.3200039591305312,Moderately Utilized
DEV0036,Tablet,Apple,iPad Air,2024-04-24,659,HR,Austin,Available,29,29,3207.876949316369,110.61644652815066,102.96438911657667,21,917.857991087249,666.7150615727222,0.7837837837837838,0.12166899808921855,Moderately Utilized
DEV0037,Tablet,Samsung,Galaxy Tab S9,2022-09-02,740,Finance,Houston,Available,32,29,4894.524166145042,152.95388019203256,154.7581166638664,23,754.9121365358935,583.6425780167452,0.8648648648648649,0.18564049083779371,Moderately Utilized
DEV0038,Camera,Canon,EOS R50,2022-05-15,854,Finance,College Station,Available,16,16,1065.768635032306,66.61053968951913,57.07500245305472,15,1264.8826916861383,1409.50310511031,0.43243243243243246,0.040422685803745965,Underutilized
DEV0039,Camera,Sony,Alpha ZV-E10,2023-08-05,861,Marketing,Dallas,Maintenance,19,17,1404.4171310921895,73.91669111011524,73.22484106670777,18,1100.6053888348733,732.6013304308989,0.5135135135135135,0.05326701364768258,Moderately Utilized
DEV0040,Projector,Epson,PowerLite,2022-01-30,717,Marketing,College Station,Available,14,14,443.14597227283554,31.653283733773968,29.324189318755554,12,1624.3289959672502,1284.4193890097308,0.3783783783783784,0.01680772900756022,Underutilized
DEV0041,Laptop,Dell,Latitude 5440,2022-12-25,1664,Marketing,Dallas,Available,74,68,16510.9750662829,223.12128467949864,184.0271060120225,39,283.71875927361634,206.72863450189305,2.0,0.6262315623480571,Highly Utilized
DEV0042,Laptop,Apple,MacBook Air M3,2025-05-04,1286,HR,Dallas,Available,61,56,14887.061162452626,244.05018299102667,173.786159995185,33,359.17876809451167,269.02519615778164,1.6486486486486487,0.5646394312333375,Highly Utilized
DEV0043,Laptop,Lenovo,ThinkPad T14,2023-12-10,1189,Operations,Dallas,Checked Out,66,61,13035.12551895306,197.50190180231908,147.3133804264296,39,317.79277770850376,220.27623904413335,1.7837837837837838,0.494398846001936,Highly Utilized
DEV0044,Monitor,Dell,P2425H,2022-01-29,283,Operations,Austin,Available,29,27,7210.639618609691,248.64274546929968,152.56089892557472,23,708.3423179287785,610.6932927264717,0.7837837837837838,0.2734865806388334,Moderately Utilized
DEV0045,Monitor,LG,27UP850,2023-02-15,404,Engineering,Austin,Available,39,37,10911.637881216453,279.78558669785775,194.60752428790306,26,536.0785158378192,329.4735066565685,1.054054054054054,0.4138587824582536,Moderately Utilized
DEV0046,Tablet,Apple,iPad Air,2023-01-01,741,Research,College Station,Available,26,25,2929.8282766939583,112.68570294976763,92.11535295510097,25,798.9893813445375,320.74188903943525,0.7027027027027027,0.11112311246065186,Moderately Utilized
DEV0047,Tablet,Samsung,Galaxy Tab S9,2024-03-10,652,Research,Austin,Available,12,12,1668.7708372545753,139.06423643788128,125.22663572073765,11,1799.8303296367785,1013.1452675232298,0.32432432432432434,0.06329347385115253,Moderately Utilized
DEV0048,Camera,Canon,EOS R50,2022-02-18,1053,Finance,College Station,Checked Out,14,14,1250.341241956926,89.310088711209,70.91023277562347,12,1698.9192312600042,1400.3612134534083,0.3783783783783784,0.04742319252954773,Underutilized
DEV0049,Camera,Sony,Alpha ZV-E10,2025-06-06,881,Finance,Houston,Available,13,13,878.9129193258668,67.60868610198976,86.93635962653944,12,1630.402556388717,955.5310805165093,0.35135135135135137,0.03333558487174442,Underutilized
DEV0050,Projector,Epson,PowerLite,2023-01-14,778,Research,College Station,Available,16,16,786.4704468774744,49.15440292984215,36.49547220614973,15,1469.4037219837155,1172.8931430577297,0.43243243243243246,0.029829408300326044,Underutilized
DEV0051,Laptop,Dell,Latitude 5440,2023-11-25,1218,Engineering,College Station,Checked Out,76,71,13549.442976469587,178.2821444272314,142.46093587055125,41,312.7795744923972,219.04931583659584,2.054054054054054,0.5139059813268012,Highly Utilized
DEV0052,Laptop,Apple,MacBook Air M3,2025-07-14,1745,Research,College Station,Checked Out,57,53,10569.791643259083,185.43494110980848,154.38019647856612,38,349.6176480225187,312.1236166842942,1.5405405405405406,0.40089317002049923,Moderately Utilized
