device_id,device_type,manufacturer,model,purchase_date,purchase_cost,department_owner,location,status,checkout_count,unique_employees,total_checkout_hours,avg_checkout_duration_hours,median_checkout_duration_hours,turnaround_count,avg_turnaround_hours,median_turnaround_hours,borrowing_frequency_per_month,utilization_rate,utilization_segment
DEV0205,Monitor,LG,27UP850,2025-04-30,451,Marketing,College Station,Available,44,40,21763.617210163487,494.627663867352,249.70680720579415,19,540.2015667345024,551.8163626025774,1.1891891891891893,0.8254548234221303,Highly Utilized
DEV0165,Monitor,LG,27UP850,2023-05-15,391,Marketing,Austin,Checked Out,44,43,20816.83173413477,473.10981213942654,257.8413789609908,17,336.0038380315815,240.26914805268973,1.1891891891891893,0.7895449546541318,Highly Utilized
DEV0251,Laptop,Dell,Latitude 5440,2024-01-19,1298,Research,Austin,Available,68,67,19694.70770316963,289.62805445837694,213.6450229161475,28,369.468447641889,217.76992870375489,1.837837837837838,0.7469848101297419,Highly Utilized
DEV0032,Laptop,Apple,MacBook Air M3,2022-12-20,1508,Engineering,Dallas,Available,68,64,17819.97657556972,262.05847905249584,193.41859875690318,30,327.4022421810031,144.51263313237402,1.837837837837838,0.6758796332212692,Highly Utilized
DEV0252,Laptop,Apple,MacBook Air M3,2022-09-13,1584,HR,Austin,Available,68,63,17427.6244903019,256.2885954456162,171.4656358351807,39,288.3922819229227,214.53442048089056,1.837837837837838,0.6609984249121648,Highly Utilized
DEV0184,Monitor,Dell,P2425H,2022-01-06,267,Operations,Austin,Available,46,44,17101.284564938218,371.7670557595265,267.60388686611316,20,545.2853434693319,318.1008721195522,1.2432432432432432,0.6486209389976969,Highly Utilized
DEV0122,Laptop,Apple,MacBook Air M3,2022-03-09,1390,Research,Austin,Checked Out,72,65,16537.481330795665,229.68724070549536,197.725883595165,35,311.9402046670059,154.23695434104306,1.945945945945946,0.6272368972462812,Highly Utilized
DEV0041,Laptop,Dell,Latitude 5440,2022-12-25,1664,Marketing,Dallas,Available,74,68,16510.9750662829,223.12128467949864,184.0271060120225,39,283.71875927361634,206.72863450189305,2.0,0.6262315623480571,Highly Utilized
DEV0132,Laptop,Apple,MacBook Air M3,2024-01-15,1713,Operations,Dallas,Available,76,72,16362.899906148985,215.3013145545919,152.13101212711084,40,285.5228549723555,207.0807795970468,2.054054054054054,0.620615338078846,Highly Utilized
DEV0204,Monitor,Dell,P2425H,2024-01-01,270,Finance,College Station,Available,44,44,15720.3434171127,357.2805322071068,264.6371263793383,21,495.3452966119241,414.76647381077333,1.1891891891891893,0.5962443271354768,Highly Utilized
DEV0013,Laptop,Lenovo,ThinkPad T14,2024-03-29,1304,HR,College Station,Checked Out,55,53,15612.07932616419,283.8559877484398,186.33123967441333,24,447.0083712911301,350.5596416785395,1.4864864864864864,0.592138065055333,Highly Utilized
DEV0214,Monitor,Dell,P2425H,2023-02-24,247,Research,Houston,Available,48,44,15603.997538491323,325.0832820519026,256.45974476042653,22,549.3313871180289,463.6751461923747,1.2972972972972974,0.5918315373971766,Highly Utilized
