device_id,device_type,manufacturer,model,purchase_date,purchase_cost,department_owner,location,status,checkout_count,unique_employees,total_checkout_hours,avg_checkout_duration_hours,median_checkout_duration_hours,turnaround_count,avg_turnaround_hours,median_turnaround_hours,borrowing_frequency_per_month,utilization_rate,utilization_segment
DEV0158,Camera,Canon,EOS R50,2025-03-25,788,Finance,Dallas,Available,9,9,262.11043878177054,29.123382086863394,22.70855496251389,8,1742.5799328097974,1475.071873090606,0.24324324324324326,0.009941377109898092,Underutilized
DEV0258,Camera,Canon,EOS R50,2024-04-28,759,Finance,Dallas,Available,10,10,268.39072396440747,26.83907239644075,28.829712338511946,9,2288.801797792888,1817.3833333333334,0.2702702702702703,0.010179577021540227,Underutilized
DEV0200,Projector,Epson,PowerLite,2022-07-22,804,Engineering,Houston,Checked Out,13,13,288.10668161655224,22.16205243204248,20.96543086540472,12,1671.5010809509192,1322.0204431748384,0.35135135135135137,0.010927367803981907,Underutilized
DEV0230,Projector,Epson,PowerLite,2022-08-13,699,Finance,Austin,Available,6,6,302.44847316415974,50.40807886069329,47.489140084795416,5,2443.963181698683,2632.886101487983,0.16216216216216217,0.01147132614028084,Underutilized
DEV0198,Camera,Canon,EOS R50,2023-11-20,956,Operations,Houston,Available,5,5,333.9275687041797,66.78551374083594,43.49187782968139,4,3048.952114276854,1921.1493677538556,0.13513513513513514,0.012665271567621884,Underutilized
DEV0140,Projector,Epson,PowerLite,2024-01-15,755,Operations,Houston,Available,17,16,437.6305706393847,25.742974743493217,25.12079570062361,16,1308.43770685658,1000.6553578427477,0.4594594594594595,0.016598539752048218,Underutilized
DEV0040,Projector,Epson,PowerLite,2022-01-30,717,Marketing,College Station,Available,14,14,443.14597227283554,31.653283733773968,29.324189318755554,12,1624.3289959672502,1284.4193890097308,0.3783783783783784,0.01680772900756022,Underutilized
DEV0250,Projector,Epson,PowerLite,2023-02-19,833,Marketing,Dallas,Available,12,12,445.0740700073433,37.089505833945275,32.06061511513375,11,2001.6656380070751,1611.5017615414679,0.32432432432432434,0.01688085828380183,Underutilized
DEV0210,Projector,Epson,PowerLite,2023-01-28,820,Engineering,Austin,Available,10,10,448.05755948298946,44.805755948298945,31.39411069733653,9,2120.7739721133566,1917.8506172846164,0.2702702702702703,0.01699401666894156,Underutilized
DEV0189,Camera,Sony,Alpha ZV-E10,2023-08-08,865,HR,Houston,Available,6,6,461.32220831881557,76.8870347198026,89.87669371236348,5,3805.9258063991847,1084.424371212523,0.16216216216216217,0.01749712092118048,Underutilized
DEV0089,Camera,Sony,Alpha ZV-E10,2022-03-21,705,Engineering,Austin,Available,8,8,486.51758883566276,60.814698604457845,57.839212539568194,7,2370.457078085484,1902.6553770215814,0.21621621621621623,0.018452736349202026,Underutilized
DEV0178,Camera,Canon,EOS R50,2023-06-20,991,Finance,Houston,Checked Out,11,10,495.83686285543695,45.07607844140336,34.20448622928,10,1989.4727080349035,1645.1446115365447,0.2972972972972973,0.01880619963685913,Underutilized
DEV0108,Camera,Canon,EOS R50,2022-07-24,971,Operations,Dallas,Available,10,9,502.63909834113224,50.26390983411322,42.956234773468886,9,2080.8193765889423,1684.043738466152,0.2702702702702703,0.01906419618391741,Underutilized
DEV0260,Projector,Epson,PowerLite,2025-03-18,711,Marketing,College Station,Available,17,15,506.48343209377083,29.79314306433946,28.41579038902083,15,1320.4573793192437,1470.9316190584434,0.4594594594594595,0.019210004842851097,Underutilized
DEV0240,Projector,Epson,PowerLite,2023-11-08,741,HR,College Station,Available,12,12,520.539881824305,43.37832348535875,36.30713884307458,11,1208.0721243137195,575.1076470347567,0.32432432432432434,0.019743140677681053,Underutilized
DEV0220,Projector,Epson,PowerLite,2024-02-07,786,Finance,College Station,Available,15,15,549.7740213795755,36.65160142530503,26.696507540874446,14,1499.9307601122443,1288.6345978805703,0.40540540540540543,0.02085193896573514,Underutilized
DEV0130,Projector,Epson,PowerLite,2022-08-14,747,Marketing,College Station,Available,11,11,564.4680711483575,51.31527919530522,52.05019978300028,10,2084.751954983984,2076.5718321409713,0.2972972972972973,0.02140925782225232,Underutilized
DEV0120,Projector,Epson,PowerLite,2022-07-05,831,Engineering,College Station,Available,14,14,599.1270304968244,42.79478789263032,46.902169786746526,13,1580.3167844338907,1117.1210330997699,0.3783783783783784,0.02272380975967673,Underutilized
DEV0118,Camera,Canon,EOS R50,2025-07-22,909,Operations,Austin,Checked Out,10,10,616.0190276007028,61.601902760070274,46.55626652801417,9,2072.629325632186,1631.2873237805159,0.2702702702702703,0.023364492802021245,Underutilized
DEV0110,Projector,Epson,PowerLite,2025-05-01,832,Engineering,Dallas,Maintenance,18,18,627.9040487311605,34.88355826284225,27.847447003497777,16,1261.5247695661237,850.0136359529272,0.4864864864864865,0.023815270258905976,Underutilized
DEV0100,Projector,Epson,PowerLite,2025-05-14,705,Engineering,Austin,Available,14,13,633.6460085522697,45.260429182304975,42.36995331086222,13,1433.7002102850643,593.4695354412986,0.3783783783783784,0.024033052458641468,Underutilized
DEV0020,Projector,Epson,PowerLite,2023-12-21,829,Operations,Austin,Available,21,21,634.6962800001317,30.22363238095865,30.55832355296139,20,1024.4485622751909,845.945575245616,0.5675675675675675,0.02407288736403281,Underutilized
DEV0070,Projector,Epson,PowerLite,2024-11-01,770,HR,Houston,Checked Out,15,15,642.5447920554839,42.83631947036559,34.82142692416,13,1343.648767637073,1005.9631919891226,0.40540540540540543,0.024370567297943416,Underutilized
DEV0098,Camera,Canon,EOS R50,2025-05-01,816,Finance,College Station,Available,8,8,644.4189347019022,80.55236683773778,73.69235683251847,7,2904.94771641696,1303.9685310118098,0.21621621621621623,0.024441650154820017,Underutilized
DEV0199,Camera,Sony,Alpha ZV-E10,2025-01-15,874,Finance,Austin,Checked Out,8,8,649.4028576530533,81.17535720663166,67.74996650114014,7,2813.968427997158,2961.171516397337,0.21621621621621623,0.024630681380643574,Underutilized
DEV0090,Projector,Epson,PowerLite,2023-06-26,685,Operations,Dallas,Available,12,12,654.0579589355386,54.504829911294884,39.311113493638885,10,1729.907872846882,1281.305251786662,0.32432432432432434,0.024807240992496683,Underutilized
DEV0150,Projector,Epson,PowerLite,2023-04-20,931,Marketing,College Station,Available,19,17,660.7122571175947,34.77432932197867,29.79362864001917,17,1283.2399411061072,1059.623100416806,0.5135135135135135,0.025059626543934437,Underutilized
DEV0190,Projector,Epson,PowerLite,2025-07-22,759,Operations,Austin,Available,16,16,700.2400153559994,43.76500095974996,45.96398876000819,15,1257.9941223677351,805.2687721091206,0.43243243243243246,0.02655884325877896,Underutilized
DEV0088,Camera,Canon,EOS R50,2025-01-19,883,HR,Houston,Available,11,11,704.6980002344873,64.06345456677157,50.901225576570006,10,1360.0854980907316,957.485718286112,0.2972972972972973,0.02672792660026377,Underutilized
DEV0238,Camera,Canon,EOS R50,2024-01-08,811,Engineering,Dallas,Available,14,14,704.9391471205317,50.35279622289512,50.245697104328336,12,1456.7430184066327,657.9359924634384,0.3783783783783784,0.02673707286755548,Underutilized
DEV0069,Camera,Sony,Alpha ZV-E10,2024-05-12,773,Engineering,Dallas,Available,15,15,727.1105519999653,48.474036799997684,43.765099231404164,14,1439.7744862592901,1114.0010868073382,0.40540540540540543,0.027577994343201847,Underutilized
DEV0010,Projector,Epson,PowerLite,2024-08-26,749,Research,Dallas,Available,15,14,732.2624953650767,48.81749969100511,56.43960636815694,14,1541.5495447774958,988.6570984701009,0.40540540540540543,0.027773398280868184,Underutilized
DEV0249,Camera,Sony,Alpha ZV-E10,2025-04-25,828,Research,Houston,Available,12,12,753.1909187060986,62.76590989217488,46.04774554402542,11,1483.7441274071525,1039.1246333559247,0.32432432432432434,0.02856717570429205,Underutilized
